block_index,mode,lam,winner_id,block_time_ticks,fork,n_competing,f_winner,f_reference,f_optimum_est,total_hash_attempts,total_aco_iterations,p0,label
39,pure_poao,0.0,12,2,True,14,4.559235663221499,4.553978268575987,4.553978268575987,0.0,40.0,7.8125e-07,pure_poao
0,hybrid,0.5,26,10,False,1,4.580041454786828,4.261220393619304,4.261220393619304,1618.6447493701642,76.99999999999997,0.0002,hybrid(lambda=0.5)
1,hybrid,0.5,3,40,False,1,3.264217291378971,3.7923650618174145,3.7923650618174145,9078.323097324475,279.9999999999999,0.0002,hybrid(lambda=0.5)
2,hybrid,0.5,5,39,False,1,3.5734917402412454,3.9456663100356346,3.9456663100356346,8452.63546481079,279.99999999999994,0.0002,hybrid(lambda=0.5)
3,hybrid,0.5,24,17,False,1,3.490075808819519,3.8302293679971338,3.8302293679971338,3334.9716229176634,126.00000000000004,0.0002,hybrid(lambda=0.5)
4,hybrid,0.5,1,40,False,1,3.1520359190336946,3.3650184307498394,3.3650184307498394,8682.260782029525,280.0,0.0002,hybrid(lambda=0.5)
5,hybrid,0.5,24,27,False,1,3.313108908566387,3.6451493392143464,3.6451493392143464,5879.399994836,196.00000000000006,0.0002,hybrid(lambda=0.5)
6,hybrid,0.5,14,4,False,1,4.717518583014589,4.329640671547056,4.329640671547056,499.20249967736015,34.99999999999997,0.0002,hybrid(lambda=0.5)
7,hybrid,0.5,7,39,False,1,3.6887420228930408,4.188062550612397,4.188062550612397,9087.729707110944,280.00000000000006,0.0002,hybrid(lambda=0.5)
8,hybrid,0.5,0,21,False,1,3.5755346272546835,4.363765807746356,4.363765807746356,4628.644164171738,154.00000000000003,0.0002,hybrid(lambda=0.5)
9,hybrid,0.5,16,11,False,1,3.8578016474852657,4.231841108270443,4.231841108270443,1868.3652525553493,83.99999999999997,0.00033066666666666666,hybrid(lambda=0.5)
10,hybrid,0.5,16,13,False,1,3.468273336495018,3.436248267852691,3.436248267852691,1671.2097120564938,98.0,0.00033066666666666666,hybrid(lambda=0.5)
11,hybrid,0.5,16,14,False,1,3.3696070920785264,3.4530939817585136,3.4530939817585136,2147.1992320530476,105.00000000000001,0.00033066666666666666,hybrid(lambda=0.5)
12,hybrid,0.5,16,17,False,1,3.6222545791429015,3.7571183071317593,3.7571183071317593,3116.276816636484,126.00000000000004,0.00033066666666666666,hybrid(lambda=0.5)
13,hybrid,0.5,7,11,False,1,3.453526176789639,4.133875582485308,4.133875582485308,2164.993493757252,83.99999999999997,0.00033066666666666666,hybrid(lambda=0.5)
14,hybrid,0.5,14,24,True,2,4.081941942580086,4.851432511185868,4.851432511185868,5310.286289278781,175.00000000000009,0.00033066666666666666,hybrid(lambda=0.5)
15,hybrid,0.5,7,2,False,1,3.6618309264967275,3.505940095471222,3.505940095471222,119.97050313088232,20.99999999999999,0.00033066666666666666,hybrid(lambda=0.5)
16,hybrid,0.5,15,28,False,1,2.9939684198898586,2.9939684198898586,2.9939684198898586,5625.251787835297,203.00000000000006,0.00033066666666666666,hybrid(lambda=0.5)
17,hybrid,0.5,24,9,False,1,3.985467629637753,4.205161447952296,4.205161447952296,1556.8882807308123,69.99999999999994,0.00033066666666666666,hybrid(lambda=0.5)
18,hybrid,0.5,22,10,False,1,3.6715803444775466,4.150461803989751,4.150461803989751,1925.8219026459756,76.99999999999996,0.00033066666666666666,hybrid(lambda=0.5)
19,hybrid,0.5,16,1,False,1,4.407061788342473,4.656496080888091,4.656496080888091,156.479077901526,14.000000000000002,0.0002843733333333333,hybrid(lambda=0.5)
20,hybrid,0.5,15,9,False,1,3.7289440160830587,3.819625839137452,3.819625839137452,1288.078188190619,69.9999999999999,0.0002843733333333333,hybrid(lambda=0.5)
21,hybrid,0.5,16,17,False,1,3.485579364867815,4.128487546985109,4.128487546985109,3517.449876421667,126.00000000000006,0.0002843733333333333,hybrid(lambda=0.5)
22,hybrid,0.5,19,17,False,1,3.1720339317533037,3.012639897386964,3.012639897386964,2960.3349817471217,126.00000000000003,0.0002843733333333333,hybrid(lambda=0.5)
23,hybrid,0.5,16,2,False,1,4.171434187667202,3.7979224891918033,3.7979224891918033,210.0824452272447,20.999999999999993,0.0002843733333333333,hybrid(lambda=0.5)
